Francais,Nufi
Où habite ton petit-fils?,Mênmēn ǒ(ò yì mbá') nsī mɑ̀ hɑ̄? Mēn ò yòk pʉ́ɑ́(yì mbá') nsī mɑ̀ hɑ̄?
La tante maternelle.,Mɑ̄ à wèn njàm mɑ̄. Mēmmɑ̄ mɑ̄ yì mʉ̀nzhwīē.
La tante paternelle.,Mɑ̄ à wèn njàm mbɑ̄'. Mēmmɑ̄ mbɑ̄' yì mʉ̀nzhwīē.
"Le cousin, la cousine.",Mēmmɑ̄.
Mon neveu.,Mēn à yì mbâ'.
Ma nièce.,Mēn à yì mʉ̀nzhwīē.
Beau-frère.,Ndômnsì.
Mon beau-frère est venu.,Ndômnsì á sɑ̀'.
Ma belle-sœur. [C'est l'épouse qui parle],"Mɑ̂nsì, ndū, mēndū."
Ma belle-sœur est malade. [C'est l'époux qui parle],"Mɑ̂nsǐ ǎ mɑ̀ngóó, nzhwīē á mɑ̀ngóó."
Beau-père de la femme.,"Mbɑ̂'ndū, ndū ndāmɑ̀."
Mon Beau-père m'aime beaucoup. [L'épouse parle],Mbɑ̂'ndū á nkwé' ā tɑ̀ shʉ̄ɑ̀. Ndū ā ndāmɑ̌ nkə́' ā tɑ̀ mbʉ́ɑ́ lɑ̀ bɑ̄.
Son beau-père lui a donné une portion de terrain. [On parle d'un homme],Mbɑ̂'nzhwīē í(Ndômsǐ í) hɑ̄ sípè'é mbú í.
Ta belle-mère est veuve? [On pose la question à une femme].,Mɑ̄lū(Mɑ̄ndū) ó mɑ́ fɑ̂h mʉ̀nzhwīē é?
Ma belle-mère est morte. [L'époux parle],"Ngām ǎ cák lò kīkēē, mɑ̄shwī' á kūɑ̄."
"Ma bru, ma belle-fille entretient bien mon fils.",Nzhwīèmēn ǎ ncāp mēn à pə̀pē'.
"Gendre, beau-fils. [Appellation par la mère de la mariée].",Ndū.
"Gendre, beau-fils. [Appellation par le père de la mariée].",Nsì/ndômnsì.
"Frères ou sœurs, cousins, cousines, bref toute la famille de l'époux; beau-frère, belle-sœur.","Nsì, mēndū."
"Chapitre 7. Emplois, profession, métier.",Nzâknù 7. Túmfɑ̀'.
"Travaille aujourd'hui et mange demain, paresse aujourd'hui et vole demain. À la fin de ce chapitre, vous serez en mesure de citer plusieurs métiers en langue fè'éfě'è.","Fɑ̀' zě'è, ndīē wāhà nzɑ̄, lē' zě'è ndīē wāhà nzhʉ́ɑ́! Ǒ ìndī' měh béé sìèsì lè, mɑ̀ ǒ còh nzhī nzén ntīēntíé mfɑ̀' mɑ̀ ghə̀ə̄ fè'éfě'è."
Quelle est ta profession?,Yò túmfɑ̌' mɑ́ kɑ́?
Où travailles-tu?,Ǒ mfɑ́' mɑ̀ hɑ̄?
Pour qui travailles-tu?,Ǒ mfɑ́' mbí wɑ̄? Ǒ mfɑ́' nɑ́ pó wɑ̄?
Que fais-tu comme travail? Quel genre de travail fais-tu?,Yàā ntīē mfɑ̀' tɑ́ ó mfɑ́' ɑ̄?
Qu'est-ce que tu fais dans la vie?,Kɑ́ tɑ́ ó ngʉ́ ʉ̄/mfɑ́' ɑ̄? Yò túmfɑ̌' mɑ́ kɑ́?
Je suis étudiant(e).,Ngɑ̌ mɑ́ ngà'ŋwɑ̀'nì.
Je suis enseignant(e)/professeur(e).,Ngɑ̌ mɑ́ nsìèsì.
"Un précepteur(enseignant à domicile), répétiteur.",Nsìèsǐndʉ̄ɑ̄.
Je suis un chômeur.,Ngɑ̌ mɑ́ mvɑ̂hnèhē.
Je cherche du travail/emploi.,Ngɑ̌ mɑ̀ncāk mfɑ̀'.
La recherche d'emploi est très pénible.,Làh ncāk mfɑ̌' ghɑ̀' tɑ̀'.
Je suis femme au foyer.,Ngɑ̌ mɑ́ nzhwīèndʉ̄ɑ̄.
Je suis chercheur.,Ngɑ̌ mɑ́ ncâkngà'.
Je suis médecin.,Ngɑ̌ mɑ́ ngà'kà'/mfɑ̀'kà'. Ngɑ̌ mɑ́ ncwènghòò.
Infirmier/infirmière.,"Mōòkà', ncwènghòò/ndhìghòò, mfɑ̀'kà'."
Informatique.,Zhínǔsāhndó'.
Je suis informaticien.,Ngɑ̌ mɑ́ ncâkngǎ' nɑ́ zhínǔsāhndó'.
"Le salaire, la rémunération.","Có'mfɑ̀', nkɑ̄ɑ̀mfɑ̀'."
Es-tu bien payé?,Pó ncóh ncō' mfɑ̀' mō ó?
Je ne suis pas bien rémunéré.,Pō sǐ' ncóh ncō' mfɑ̀' mā bɑ̄.
Ma femme est bien rétribuée.,Pó ncóh ncō' mfɑ̌' nzhwīē à.
Payer les heures supplémentaires.,Ncō' shwì'ndɑ̀h.
Faire des heures supplémentaires.,Mfɑ́' shwì'ndɑ̀h.
Je suis artiste/ingénieur.,Ngɑ̌ mɑ́ ngà'vʉ̀.
Je suis un ingénieur en informatique.,Ngɑ̌ mɑ́ ngà'vʉ̌ nɑ́ zhínǔsāhndó'.
Que fait ta mère comme métier?,Mɑ̄ é mfɑ́' kɑ́? Kɑ́ tɑ́ mɑ̄ é mfɑ́' ɑ̄?
Ma mère est ingénieur en informatique.,Mɑ̄vǒ mɑ́ ngà'vʉ̌ nɑ́ zhínǔsāhndó'.
Je suis un(une) agriculteur(trice).,Ngɑ̌ mɑ́ tɑ̀' nzʉ̂'nʉ̀ɑ̀.
Je suis un avocat.,Ngɑ̌ mɑ́ tɑ̀' nkôntā'.
Combien d'heures par jour travailles-tu?,Ǒ mfɑ́' nàm sʉ̄'ʉ́ nɑ́ líé'nzɑ̄ ɑ̄?
Je travaille seulement cinq heures par jour.,Ngɑ̌ mfɑ́' ndɑ̌' nàm tíí nɑ́ líé'nzɑ̄.
Combien de fois par semaine travailles-tu?,Ǒ mfɑ́' ncām sʉ̄'ʉ́ nɑ́ ngɑ̀ɑ̄nzɑ̄ ɑ̄?
Je travaille six jours par semaine.,Ngɑ̌ mfɑ́' līē' ntòhó nɑ́ ngɑ̀ɑ̄nzɑ̄.
Je travaille même les weekends.,Ngɑ̌ mfɑ́' mbɑ̌ nɑ́ mèhngɑ̀ɑ̀.
Le patron.,Mbɑ̂'mfɑ̀'.
Mon patron est très strict.,Mbɑ̂'mfɑ̀' mǎ ncōh tɑ̀'.
Qui est ton employeur?,Wɑ̄ bɑ́ mbɑ̂'mfɑ̀' mō? Wɑ̄ bɑ́ yò mbɑ̂'mfɑ̀'?
J'ai été licencié(e).,Pó yòk á mfɑ̀'. Pó tēh á mfɑ̀'.
Ma patronne est très gentille.,Mɑ̄àmfɑ̀' mǎ ghʉ̌ mbè' nthʉ̄.
On a augmenté mon salaire.,Pó shwǐ' có'mfɑ̀' mǎ.
Mon père est un bourreau de travail.,Mbɑ̄' ó mɑ́ tɑ̀' mfɑ̀'ndīēkò.
Je suis journaliste.,Ngɑ̌ mɑ́ nsìènkèn.
Je suis chanteur.,Ngɑ̌ mɑ́ njɔ̀nshì.
Mon premier-né est un(e) danseur(se).,Túfì á mɑ́ tɑ̀' nzênshì.
"M. Djoumbissie était un instrumentiste(guitariste, harpiste) exceptionnel.",Mbɑ̄' Njòómbísīē lɑ̌' mɑ́ tɑ̀' tômfʉ̀' mbû'lōk.
Je suis un comptable.,Ngɑ̌ mɑ́ nsâhzū/nsâhnkɑ̄ɑ̄.
Je suis un officier de banque.,Ngɑ̌ mɑ́ ngà'mfɑ̌' ndʉ̄ɑ̀nkɑ̄ɑ̄.
Je travaille avec des handicapés.,Ngɑ̌ mfɑ́' nɑ́ pɑ̀nkɑ̀yɑ̀'/nkɑ̀zhʉ̀ɑ̀'.
Je travaille pour des personnes âgées et les handicapés.,Ngɑ̌ mfɑ́' nɑ́ mvěn pʉ̀ píá nkɑ̀zhʉ̀ɑ̀'.
Mon dernier-né est couturier/couturière.,Ncát mēn ǎ mɑ́ ntâmndhī.
Mon ami est coiffeur.,Sēn ǎ mɑ́ nkōòtū.
Mon patron est très paresseux.,Mbɑ̂'mfɑ̀' mǎ ndē' tɑ̀'.
Il accable les gens de travail.,Ǎ ndáh mfɑ̀' nzhī pʉ̀.
Je ne travaille pas en ce moment.,Ǹ sī mɑ̀mfɑ́' ntìé' bɑ̄.
Je reste à la maison et m'occupe des enfants.,Ngɑ̌ nsī mbèè mɑ̄mfɑ́' nɑ́ pʉ̄nkhʉ̄ɑ̄.
Je suis à la retraite.,Ngɑ̌ ténɑ́ mfɑ̀'.
J'ai pris une pause; j'ai pris congé.,Ngɑ̌ lǎh hwīēsì.
Je suis en vacances.,Ngɑ̌ mɑ̀ hwīēsì.
Je fais du volontariat/bénévolat.,Ngɑ̌ mfɑ́' pě'nthʉ̄.
"Une usine; originellement, une forge.",Lə̀ə̀.
Usine de fabrication de véhicules.,Lə̀ə̄ ndʉ̄'.
Je suis un chef d'entreprise.,Ngɑ̌ mɑ́ tɑ̀' nsɑ̂'lə̀ə̀. Ngɑ̌ mɑ́ tɑ̀' nsɑ̂'mfɑ̀'.
Un forgeron.,Nthîlə̀ə̀.
Chef/directeur d'usine.,"Táàlə̀ə̀, nsɑ̂'lə̀ə̀."
J'ai ma propre entreprise.,Ngɑ̌ ghʉ̌ tɑ̀' lə̀ə̀.
Mon fils est Chirurgien.,Mēn ǎ mɑ́ tɑ̀' nsēèwèn.
Je suis/travaille à mon compte.,Ngɑ̌ mfɑ́' ndǒk à.(Litt. Je travaille seul).
Cordonnier.,Nnìɑ̀ncāt.
Je suis balayeur(yeuse).,Ngɑ̌ mɑ́ njòhzʉ̀'.
J'ai épousé un éboueur.,Ngɑ̌ lə́ə́ tɑ̀' ngwɑ̂'mbī'/ngwɑ̂'ghǎ'zū.
Son père est un grand cuisinier.,Mbɑ̄' á mɑ́ tɑ̀' ghɑ̀' ndə̄ə̀càk/nnâ'càk.
J'ai un restaurant.,Ngɑ̌ ghʉ̌ tɑ̀' ndʉ̄ɑ̀wúzɑ̄.
Je suis un politicien.,Ngɑ̌ mɑ́ ngà'ngèè.
Je suis commerçant.,Ngɑ̌ mɑ́ ntâ'ntēē.
Je suis agent immobilier.,Ngɑ̌ mɑ́ tɑ̀' ngà'nzhǐ nɑ́ nǔ pè'è.
Je suis agent secret.,Ngɑ̌ mɑ́ tɑ̀' nnɑ̂'wèn.
Son petit-frère est un clown.,Ngà'njǎm ǐ mɑ́ ngà'ncàhsì/mmɑ̀'kwà'.
Homme de ménage/boy.,"Sǒmndʉ̄ɑ̄/sə̌bndʉ̄ɑ̄, mēnkhʉ̄ɑ̄/mʉ̄nkhʉ̄ɑ̄."
Je suis animateur télé.,Ngɑ̌ mɑ́ mmɑ̀'kwǎ' ntám mbǔ'nkěn-yīīsì.
Je suis bagagiste.,Ngɑ̌ mɑ́ nŋɑ̂'pʉ̀ɑ̀.
Je suis bibliothécaire.,Ngɑ̌ mɑ́ ngà'mfɑ̌'ntǎ'ŋwɑ̀'nì.
Je suis bijoutier.,Ngɑ̌ mɑ́ nnìɑ̀zū/nthîzū.
Je suis boulanger.,Ngɑ̌ mɑ́ nnìɑ̀tòòtōm.
Je suis caméraman/photographe.,Ngɑ̌ mɑ́ ndàhnìnì.
Je suis charcutier.,Ngɑ̌ mɑ́ mfèn ngʉ̄nə̀ə̀/ngwàà ngʉ̄nə̀ə̀.
Je suis chercheur en nouvelles technologies de l'information et de la communication.,Ngɑ̌ mɑ́ tɑ̀' ncâkngǎ' nɑ́ zúvʉ̀ fī.
Je suis en formation de guitariste.,Ngɑ̌ mɑ̀nzhī'sī làh mbɑ̄ mbû'lōk.
Je suis en stage.,Ngɑ̌ mɑ̀ngʉ́ tēhsípō/tēhsítū.
Je suis stagiaire en médecine.,Ngɑ̌ mɑ̀ngʉ́ tēhsípó/tēhsítú nɑ́ mfɑ̌'kà'.
Je suis peintre en bâtiment.,Ngɑ̌ mɑ́ nsî'pè'è.
Je suis réparateur(trice) de télévision/réparateur(trice)-télé.,Ngɑ̌ mɑ́ tɑ̀' nnìɑ̀ɑ̀ mbǔ'nkěn-yīīsì/mbǔ'nkěn-yēēsì.
Je suis stagiaire en électricité.,Ngɑ̌ mɑ̀ngʉ́ tēhsípó/tēhsítú nɑ́ mfɑ̌'mōh.
Je suis un barman.,Ngɑ̌ mɑ́ mfèndù'.
Je suis un boucher.,Ngɑ̌ mɑ́ mfènmbɑ̀ɑ̀/ngwààmbɑ̀ɑ̀.
Je suis un décorateur.,Ngɑ̌ mɑ́ nkēèzū.
Je suis ingénieur en génie mécanique.,Ngɑ̌ mɑ́ ngà'vʉ̌ nɑ́ zhínǔthítēnɑ̄.
Je suis un mécanicien automobile.,Ngɑ̌ mɑ́ tɑ̀' nnìɑ̀ndʉ̄'.
On m'a licencié(e) il y a neuf mois.,Pō lɑ̀yǒk/lɑ̀téh á mfɑ̀' yáá yá' ghʉ̌ ŋúnzɑ̄ vʉ̀'ʉ̄.
"Titulaire d'un doctorat, PhD(Dr).",Nshʉ̀ɑ̀yɑ́'ncâkngà'/shʉ̀ɑ̀ncāk(Shck).
Un centre d'appels.,Ndʉ̄ɑ̀ pɑ᷅'nkèn/ca᷅hnkèn.
Un dentiste.,Tɑ̀' ncwènsè'/ncwènsə̀'. Tɑ̀' ngà'kǎ'nsə̀'.
Un écrivain.,"Tɑ̀' ntìèŋwɑ̀'nì, tɑ̀' ngà'tìè."
Un/une secrétaire.,"Ndò'càm, ntìècàm, ntìèghə̀ə̀, ndàhghə̀ə̀."
Un électricien.,Ngà'mfɑ̌'mōh.
"Un éleveur, une éleveuse.",Nnâknə̀ə̀.
Un expert.,Nshʉ̀ɑ̀yɑ́' nzhînù/Nshʉ̀ɑ̀yɑ́' ncâkngà'.
Un facteur.,Ngɑ̀ɑ̀ŋwɑ̀'nì.
Un fleuriste.,Ngà'mfɑ̌'nsə̀ə̀.
Un gardien de nuit.,Mbīɑ̀zʉ̀' sū'/thʉ̄'.
Un juge.,"Ncwēèncà', nsɑ̂'ncà', ndɑ̀'ncà'."
Un livreur.,Ngɑ̀ɑ̀pū'.
Un maçon.,"Nkwâtpè'è, mbōòpè'è."
Un maître d'hôtel.,Nsɑ̂'ndʉ̄ɑ̀ngèn.
Un marin.,"Ngà'mfɑ̌'ndʉ̂'nshì, ngà'mfɑ̌'nshì."
Un menuisier.,Nkōònthʉ̄.
Un musicien.,"Mbû'nshì, nnìɑ̀nshì, mbû'lōk. Cf. Njɔ̀nshì : chanteur, singer."
Un pêcheur.,Ndù'mbìè/ngòòmbɑ̀ɑ̄nshì.
Un policier.,Nŋwâtlɑ̄'.
Un militaire.,"Mɑ̄njə̀'/mɑ̄njwè', ndʉ̄ɑ̀'ncò."
Un soldat.,Ndʉ̄ɑ̀'ngāā/ndʉ̄ɑ̀'ncò.
Un portier.,Mbīɑ̀ndʉ̄ɑ̄.
Un potier.,Mbōòcàk.
Un secouriste.,"Nzhììsì, mbʉ̂'wèn."
Un tailleur.,Ntâmndhī.
Un vétérinaire.,Ngà'kǎ'nə̀ə̀.
Un/une kinésithérapeute.,Nsèn-wèn.
Un/une manucure(personne exerçant de la manucure).,Ngà'mfɑ̌'nkàb.
Un/une réceptionniste.,Ndàhngèn.
"Un/une sage-femme, un accoucheur, une accoucheuse, un maïeuticien.",Nkômōō.
Une femme de ménage.,Ngòōndʉ̄ɑ̄.
Une hôtesse de l'air/hôtesse d'avion.,Ndàhwěn ndʉ̂'fōh/sāktēnɑ̄. Ngà'mfɑ̌' ndʉ̂'fōh/sāktēnɑ̄.
Mon grand-père était bûcheron.,Mbɑ̄' ō ndāmɑ̀ lɑ̌' mɑ́ ngwààtàm.
Mon mari est charpentier.,Ndū á mɑ́ nshwììpè'è.
Chapitre 8. Phrases pour les voyageurs.,Nzâknù 8. Ghə̀ə̄ pɑ̌ngěntōm.
"Le serpent qui reste à un même endroit n'a pas de proie. À la fin de ce chapitre, vous connaitrez le langage des voyageurs en langue fè'éfě'è.","Nú nsī zʉ̌'nshʉ̀', ǎ lɑ̀ mí sə̀ə̄wū! Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ zhí ghə̀ə̄ pɑ̀ngèntōm mɑ̀ ghə̀ə̄ fè'éfě'è."
Quelle heure est-il?,Yàā ndɑ̀h béè? Nàm sʉ̄'ʉ̄ béè?
Quel temps fait-il?,Nshʉ̀ɑ̀nzɑ́ mɑ̀ lāhā?
Le bus arrive.,Sʉ̀ɑ̀ndʉ́' mɑ̀nsɑ́'.
Le train arrive bientôt.,Mēndɑ̀' yǒkndʉ̄' sɑ̂'.
Où vas-tu?,Ǒ ngén mɑ̀ hɑ̄?
Je vais en voyage.,Ngɑ̌(mɑ̀) ngén mɑ̀ tōm.
Où vas-tu en voyage ainsi?,Ǒ mɑ̀ngén tōm mɑ̀ hɑ̄ fà'á ā?
Un voyage.,Tɑ̀' tōm/tə̄b.
"Voyager, aller en voyage.",Ngéntōm/ngéntə̄b.
"Les passagers, les voyageurs.",Pɑ̌ngěntōm.
Ces places-là sont prises.,Pó yá' lǎh zʉ̀' báá. Pʉ̀nǒk nɑ́ zʉ̀' báá.
Puis-je m'asseoir à côté de toi?,Pɑ́ ǹ nsī ngǎk ò ó?
"Oui, il n'y a pas de problème.","Ŋ̄h, ncà' sī wū bɑ̄."
Avec plaisir.,Mɑ̀ cà'sì. Pí mbə̀'nthʉ̄.
S'il vous plait Madame.,Mɑ́ mbɑ̌ mɑ̄!
Est-ce que je peux vous aider?,Mbɑ́ ǹ nkōsī ō ó?
De quoi avez-vous besoin?,Kɑ́ tɑ́ ó mɑ̀nkwé' ē?
"S'il te plait, peux-tu te reculer?",Cʉ̄cō'ò pɑ́ ó fhʉ̄'sī nā ō ó?
Il n'y a pas de place ici,Zʉ̀' sī séé bɑ̄.
Il n'y a plus de place ici.,Zʉ̀' sī yǎt séé bɑ̄.
Ne t'assois pas là-bas.,Ǒ sì sī sáá.
Viens t'asseoir à côté de moi.,Sɑ̀' nsī ngǎk à.
Merci beaucoup.,Ngɑ̌ pén ō tɑ̀ kēēmbʉ̄ɑ̄.
Enchanté.,Nthʉ̄ á lōh mɑ̀ cà'sì.
Jusqu'où allez-vous?(À plusieurs personnes),Pěn(mɑ̀)ngén tɑ̌ hɑ̄?
Nous allons jusqu'à Banwa.,Pɑ̌h(mɑ̀)ngén tɑ̌ Ŋwēē.
Nous allons faire du tourisme.,Pɑ̌h mɑ̀ngén kāāmɑ̄njīī.
"Nous allons voir la chute, l'abîme et le lieu sacré appelé Lǒhnzîsǒ.","Pɑ̌h mɑ̀ngén yīī vàhvàh/zə̀'zə̀', zàmɑ̀ pí Lǒhnzîsǒ."
Où est l'hôtel?,Ndʉ̄ɑ̀ngěn mɑ̀ hɑ̄?
"Oui, je sais parler anglais.",Ŋ̄h! Ngɑ̌ zhí làh ngə́ə́ Nglǐsì.
D'où es-tu? [Question à un homme],Ǒ mɑ́ yǐ hɑ̄? Ǒ mɑ́ mīā hɑ̄?
Il fait très chaud.,Zʉ̌' kòndóm/mɑ̀ndə́b tɑ̀'.
Baisse les vitres de la voiture s'il te plait.,"Fī'sī yīīsì ndʉ̄' lɑ́, ngɑ̌ lɑ̀ɑ̀sì ō."
Il fait légèrement froid.,Fóh mɑ̀ nɑ̄' nkō.
Monte les vitres de la voiture s'il te plait.,Kō'sī yīīsì ndʉ̄' lɑ́ cʉ̄cō'ò.
J'ai besoin de renseignements.,Ngɑ̌ mɑ̀nkwé' làh nté'sí nù.
"J'écoute, je comprends.",Ngɑ̌ mɑ̀njū'.
Combien de temps cela prend-il d'ici à Bafang.,Làh ndó séé ndhí Fá' nsī mvàk lāhā?
Ça prend quatre heures.,Yáá ndáh nàm kwɑ̀.
"Ça prend cinq heures en train, et une heure en avion.","Yáá ndáh nàm tî pí yǒkndʉ̄', nàm nshʉ̀' pí ndʉ̂'fōh."
"Ne prends pas le bateau, ça met long en route.","Ǒ sì láh ndʉ̂'nshì, yáá nsī mɑ̄nzhì yə̄ə̄."
Tu as compris?,Ǒ yú' ù?
J'ai bien compris.,"Ngɑ̌ yú' pə̀pē'/mbə̀pə̄', ngɑ̌ còh njū'."
Tu comprends la langue fè'éfě'è?,Ǒ njū' ghə̀ə̄ fè'éfě'é?
Je ne comprends pas.,Ǹ sī mɑ̀njū' bɑ̄.
Je ne comprends pas ce que vous dites.,Ǹ sī mɑ̀njū' wū yì ǒ mɑ̀ngə́ə́ lɑ́ bɑ̄.
"Je sais parler le fè'éfě'è, un tout petit peu.",Ngɑ̌ zhí làh ngə́ə́ fè'éfě'è mēnsə̀ə̀.
Je sais très bien.,Ngɑ̌ zhí mbə̀pə̄'/pə̀pē'.
Je ne parle pas bien fè'éfě'è.,Ǹ sǐ' ngə́ə́ ghə̀ə̄ fè'éfě'è mbə̀pə̄' bɑ̄.
Le fè'éfě'è est facile.,Fè'éfě'é yàhlēh.
Parlez-vous anglais? [À une seule personne],Ǒ ngə́ə́ Nglǐsì í?
Je ne parle pas anglais.,Ǹ sǐ' ngə́ə́ Nglǐsì bɑ̄.
C'est très difficile.,Yáá ghɑ̀' tɑ̀'.
Ce n'est pas du tout difficile.,Yāā kɑ̀' ghɑ́' mbɑ̀ nèhē.
"Pourriez-vous me l'écrire sur une feuille, s'il vous plaît?","Cīcō'ò, mbɑ́ ó ŋwɑ̄' yáá nɑ́ ncə̀ə̀ nhɑ̄ ā á?"
"Pourriez-vous parler plus lentement, s'il vous plaît?","Cīcō'ò, mbɑ́ ó ghə̄ə̄ ndɑ̀'ndɑ̀' ɑ́?"
Pouvez-vous répéter? S'il vous plaît.,"Cīcō'ò, pɑ́ ó pātngə́ə́?"
Répète s'il te plaît.,Pàtngə́ə́ lɑ́ cʉ̄cō'ò.
"S'il vous plait, pouvez-vous me traduire cette phrase?",Cīcō'ò pɑ́ ó fāh njâ'ghə̀ə̀ lě mbú á?
Savez-vous parler allemand?,Ǒ ngə́ə́ Njámân nzhī í?
"S'il vous plait, pouvez-vous parler plus lentement?","Cīcō'ò, pɑ́ ó ghə̄ə̄ ndɑ̀'ndɑ̀' ɑ́?"
Traduisez en français s'il vous plait.,Cīcō'ò pàhsì mɑ̀ Flàŋsī.
Je ne parle pas très bien l'espagnol.,Ǹ sǐ' ngə́ə́ Sə̀pànyɔ̂l/Sə̀pánîsh mbə̀pə̄' bɑ̄.
Je ne sais pas.,Ǹ kɑ̀' zhī(zǎ).
Je rentre de ce pas.,"Ngɑ̌ mɑ̀mfhʉ̄ ntìé'è, ngɑ̌ mɑ̀mfhʉ̄fhʉ̄, ngɑ̌ mfhʉ̄fhʉ̄."
Je suis américain.,Ngɑ̌ mɑ́ yǐ Āmērīkà. Ngɑ̌ mɑ́ mīā Āmērīkà.
Je suis française.,Ngɑ̌ mɑ́ ngòò ā Flàŋsī.
Je suis perdu.,Ngɑ̌ píé.
Je voudrais de l'eau à boire.,Ngɑ̌ mɑ̀nkwé' nshì nûnū.
"Excuse-moi mon frère, où sont les toilettes?","Mɑ́ mbɑ̌ mēmmɑ̄ ò, kwàá mɑ̀ hɑ̄?"
Les toilettes sont à votre droite.,Mfʉ̀nǐ/zʉ̌'zʉ̌' mɑ̀ nɑ́ pǎh pō ō lōm.
"Oh mon Dieu, je suis dans des ennuis!",Yéé yà wɑ̄ lɑ̄ ē! Nǔ ghʉ̀ ā.
Qu'y a-t-il? Il y a un problème?,Nǔkɑ́ bɑ́ ɑ̄? Ncǎ' síé é?
On a volé mon sac.,Pó zhʉ̀ɑ̄ pʉ̀ɑ̀ ā.
"Ne t'inquiète pas, on a attrapé les voleurs.","Ǒ sì cə̄ə̄, pó ghòō pɑ̀ncwē'."
Dieu est roi.,Síé fʉ̀.
"C'est vrai, je t'assure!","Ndéndēē, ngɑ̌ nsōk ō."
Qui a attrapé ces voleurs?,Wɑ̄ bɑ̄ ngòō pɑ̀ncwē' lɑ́ ɑ̄?
Ce sont les policiers qui les ont attrapés.,Pɑ̀nŋwɑ́tlɑ̄' bɑ̄ ngòò yɑ̄ɑ̄.
Où est ta carte d'identité?,Ŋwɑ̀'nǐlèn ǒ mɑ̀ hɑ̄?
J'ai oublié ma carte d'identité à la maison.,Ngɑ̌ lɑ̌h ŋwɑ̀'nǐlèn ǎ mbèè.
Je ne vois pas mon passeport.,Ǹ sī mɑ̀njīī ŋwɑ̀'nǐndhʉ̌lɑ̄' zǎ bɑ̄.
"Bon voyage, bonne route.",Nǎk pə̀pē' lɑ́ ō [A une personne]. Pèn nák pə̀pē' lɑ́ ō [A plusieurs personnes].
"Chapitre 9. Amour, sentiments, romance, mariage.","Nzâknù 9. Nkwè'nì, Lə́ə́ndʉ̄ɑ̄."
"Quand il y a l'amour dans le foyer, même la nouvelle accouchée sèvre précocement l'enfant. Ce chapitre permettra à l'apprenant, dans le cadre d'une relation amoureuse, de réussir à coup sûr à remporter le cœur de son amoureux/amoureuse, grâce à des phrases bien conçues, qui font fondre même les cœurs les plus gelés.","Nkwè'nǐ mbɑ̄ ndʉ̄ɑ̄ mbɑ̀ mɑ̄vʉ̀ tīē mōō. Béé nzâknù lě ìnkōsī ngà'ŋwɑ̀'nì làh mbāāsī mōònkō' ì, mmɑ́' ngòfát mbú ì tɑ̀ à cōh."
Amour.,Nkwè'nì/nkə̀'nì.
Mon amour.,Nkə̀'nì/nkwè'nì ma᷅.
Mon cœur.,Mbǎ'ntām à.
Mon/ma chéri(e).,"Mbǎ'ntām à, mōònkō' à, mēngābɑ̄yū' à."
Ma perle rare.,Pǒm mbòò mà.
Tu as quelqu'un?,Wěn nɑ́ ó?
Est-ce que tu m'aimes?,Ǒ kə̀'/kwè' ā á?
Je t'aime.,"Ngɑ̌ kwè' ō, ngɑ̌ kə̀' ō."
Je suis folle de toi.,Ngɑ̌ kwè'/kə̀' ō tɑ̀ ngwɑ́ sʉ̄'.
Je suis amoureux(se).,Ngɑ̌ mɑ̀nkə́' wèn.
"Je suis fou de toi, Je t'adore follement.",Ngɑ̌ kwè' ō tɑ̀ ngwɑ̄' pō.
Je t'aime beaucoup.,Ngɑ̌ kwè'/kə̀' ō tɑ̀'.
Je t'aime éperdument.,Ngɑ̌ kə̀' ō tɑ̀ ngwēn.
Je l'apprécie tellement.,Ngɑ̌ kwě' nù zǐ tɑ̀'.
M'apprécies-tu?,Ǒ kə̌'/kwě' mbʉ̄ɑ̄ mā á? Ǒ kwě' nù za᷄?
J'aime tellement tes manières.,Ngɑ̌ kə̌' yò mbʉ́ɑ́ ghʉ̀ tɑ̀'.
Appelle-moi!,Cēh ā!
Je t'appellerai.,Ngɑ̌ ìncēh ō.
As-tu des projets pour ce soir?,Ǒ mɑ̀nkwá'sí làh ngʉ́ wū mbūànzɑ́ é?
As-tu un petit ami?,Ǒ ghʉ̌ sên mɑ̄ghɑ̀ɑ̀ yì mbā' á? Wěn nɑ́ ó? Ǒ ghʉ̌ nshʉ̄ɑ̀nshwī í?
As-tu une petite amie?,Ǒ ghʉ̌ sên mɑ̄ghɑ̀ɑ̀ yì mʉ̀nzhwīē έ?
Ça me chatouille.,Yáá mɑ̀nŋá'sí ā.
Ça me va(ça me convient).,Yáá pǒm mbú à. Yέέ pə̌b nɑ́ à.
Ça te dit de sortir ce soir?,Nzhìè làh ntōm mbūànzɑ́ é nɑ́ ó?
Es-tu occupé(e) ce soir?,Ǒ cáhsí mbūànzɑ́ é?
Ça te dit d'aller se promener à la plage?,Pɑ̀h ghén nkāāsī ngáknshì í?
Tiens ma main s'il te plait.,"Cāb pō ā lɑ́ cʉ̄cō'ò, cʉ̄cō'ò tāh pō ā lɑ́."
Tu es romantique.,Ǒ zhí njɑ̌'nkwè'nì.
Tant pis pour les jaloux.,Tú ngà'ndə̀ə̀ lɑ̀cáh pə́ə́ndʉ̄ɑ̄.
Ma fiancée n'aime pas le romantisme.,Nkwêngòò nà sǐ' nkwé' njɑ̌'nkwè'nì bɑ̄.
