Column1,French,Nufi
6961, ma mère est en train de décortiquer les pistaches,Mɑ̄vǒ mɑ̀nkāb nzhʉ̀' 
6964, les griffes du chat.,Nkàbɑ́ ngòòndə̄b 
6965, le tonnerre a grondé toute la nuit.,Hǎ'mbǎk díé sū' nkáh 
6968, dis-lui au revoir d'un signe de la main,Kàhsì pó mbú ì 
6969," je dis au revoir à ma mère d'un signe de la main, ou alors, je salue ma mère, d'un signe de la main.",Ngɑ̌ mɑ̀nkáhsí pó mbí mɑ̄vǒ 
6970, le tam-tam mince et effilé,Mfà' 
6971, le tam-tam que l'on frappe avec deux baguettes.,Ndʉ̄' 
6972," oins ton pied, ça s'est fendillé.","Sī' mvát nɑ́ nkhù mǒ lɑ́, yáá kàhsì wǎ' "
6973, salue-le d'un signe de la main,Kàhsì pó mbú ì 
6974," je salue ma mère, d'un signe de la main.",Ngɑ̌ mɑ̀nkáhsí pó mbí mɑ̄vǒ 
6977, prolonger le délai de sevrage d'un enfant,Nkɑ̄h mōō 
6980, s'efforcer pour réussir une affaire,Nkáhtěn nɑ́ nù 
6984, l'eau m'a fait très mal à la gorge,Nshǐ kǎk ā 
6985, les boulettes (particules) de taro mal pilé m'ont éraflé la gorge.,Nsátlɑ́ péé kàk ā 
6986," simuler la guerre, simuler des mouvements de guerre, comme si on était en guerre.",Nkák ncò 
6987, la pipe du tabac.,Nkǎk ndə̀pɑ̀' 
6988, plante une haie pour entourer ton village,Phǐ nthʉ̄ ndáh nkāk mbèè lò 
6989, on a encerclé le voleur.,Pó kāksī ncwē' nɑ̄h í cìcàh 
6990, faite une barrière autour de la poule pour la pousser à entrer à la maison.,"Pèn kāksī ngáp, á cō ndʉ̄ɑ̄ "
6991, la poule caquette lorsqu'elle a besoin du coq pour un accouplement.,Ngáp nkáksí ntìè' yì nzhìè khʉ̀ɑ́' mɑ̀nkō ī lɑ́ 
6992, plante une haie pour entourer ton village,Phǐ nthʉ̄ ndáh nkāksī mbèè lò 
6994, poussez la poule pour qu'elle entre à la maison (en faisant un demi-cercle autour d'elle),"Pèn kāksī ngāp, á cō ndʉ̄ɑ̄ "
6995, conte,Tʉ́ɑ́nkātlɑ̄ 
6996, parler en énigme,Ntʉ̄ɑ̄ nkātlɑ̄ 
6997, les vieillards aiment parler en parabole.,Pɑ̀mfhʉ̀mfɑ́htú kə̌' nàh ntʉ̄ɑ̄ nkātlɑ̄ 
6998, c'était juste une hypothèse.,Ngɑ̌ làh ntʉ̄ɑ̄ mɑ́ nkātlɑ̄ 
7001, j'ai un grief contre toi,Pɑ́h ó mɑ̀ nkàm 
7002, (proverbe) c'est avec l'intellect qu'on mesure la valeur humaine,Zhínǔ wèn bɑ́ ndáh ī ngʉ́ nkām 
7003, le prêtre,Nkâmsīē 
7004," Quelle est la quantité, la mesure, la dimension?",Nkām yáá lāhā ? 
7005, le nombre de personnes venues est considérable,Nkām pʉ̀ kɑ̌ sɑ̀' lɑ́ yə̄ə̄ 
7006," Quelle est la dimension, l'envergure de cette maison?",Nkǎm ndʉ̄ɑ̄ lɑ́ lāhā ? 
7008, l'ensemble des neuf notables qui avec le chef dirigent le village,Nkâmvʉ̀'ʉ̄ 
7010, grande personnalité,Ghɑ̀'nkām 
7013, Quelle est la dimension de cette maison?,Nkǎm ndʉ̄ɑ̄ lɑ́ lāhā ? 
7015, traits discontinus.,Nkàmkǎm nkà' 
7016, justice,Nùnkɑ̀ndàk 
7017,,A = b
7018,,Y = a*x+b
7019, en plein matin.,Nkà'nì mǒhshʉ̄ɑ̄ 
7021, le zèbre.,Nə̀ə̀lāknkà' 
7022, allez ensemble.,Pèn shʉ́ɑ́ nkà'nshʉ̀' 
7023, tailler les ongles,Nkák nkàp 
7024, les griffes du chat,Nkǎp ngòòndə̄b 
7025, allez ensemble.,Pèn shʉ́ɑ́ nkà'shʉ̀' 
7026, Pourquoi me salues-tu de la main à distance au lieu de venir me saluer?,Ǒ mɑ̀nká'sí pō ó mbú à mɑ̀ ò sɑ̌' ncɑ́'sí ā mɑ̀ kɑ́ bɑ́ ngʉ́ ʉ̄ ? 
7027, va faire frire le maïs.,Ghèn nkā'sī ngòfāt 
7031, les vieillards aiment parler en parabole.,Pɑ̀mfhʉ̀mfɑ́htú kwě' nàh ntʉ̄ɑ̄ nkātlɑ̄ 
7033, invectiver quelqu'un,Nnák nkɑ̀yɑ̀' zɑ́h wèn 
7034, je voudrais sortir.,Ngɑ̌ mɑ̀nkə́' nàh ngén nzɑ̄ 
7035, Qui préfères-tu entre ton père et ta mère?,"Nɑ́ mɑ̄ ē pí mbɑ̄' ē, ǒ kə̌' wɑ̄ nshʉ́ɑ́ mò' ò ? "
7036, la tige du maïs,Nkə̌' ngòfāt 
7037," stylo, stylobille, stylo à bille, bic.","Nkwě'tìè, nkwě'ŋwɑ̀'nì "
7038, le pilon et le mortier vont de pair,Nkə̀' pí zǎk nnák khù shʉ̀' 
7039, le pilon à taro.,Nkə̌' pēē 
7040, l'épis de maïs déjà égrené,Nkə̌' ngòfāt 
7041, épi de maïs portant les grains.,Kǒ' ngòfāt 
7042, les rayons solaires,Nkə̌'nàm 
7043, les balles de fusil.,Nkə̌'ngāā 
7044, vaste pré de chaume,Nkə̌' pēlɑ̄ 
7045," place d'un marché située sur un plateau, sur un lieu élevé",Nkə̌'ntēē 
7046, sept collines,Nkə̀'sə̀mbʉ́ɑ́ 
7047," patriote, chauvin.",Nkə̀'lɑ̄' 
7048, donner une taloche sur la tête de qqn,Ncám nkə́' tú wèn 
7049," si qqn te porte sur son épaule, ne lui donne pas une taloche (car il te laissera tomber)","Wèn ŋɑ̌' ó nkə̀mbʉ̀ɑ́' ì, ǒ sì cám nkə́' tú ì "
7050, j'ai des maux de tête.,Tú á mɑ̀nkə́b ā 
7051, on m'a accusé de sorcellerie.,Pó kə̀b ā nsʉ̀ɑ̀ 
7055, n'oublie pas de te peigner.,Ǒ sì lə́h nàh nkə̄b tū ō 
7057," calme-toi, tais-toi, ne pleure plus.","Kə̄b nā ò, lā' lɑ́, ǒ sì īmbát ngé' "
7060," calme-toi, tais-toi, ne pleure plus","Kə̄bsī nā ò, lā' lɑ́, ǒ sì īmbát ngé' "
7063, le feu de brousse s'embrase,Móhnkě' mɑ̀nkhʉ̄ 
7064," lorsque le feu de brousse passe, les fougères apparaissent",Nkě' mbɑ̄ tɑ̀ ntōh nkʉ̀nkwēn tōm 
7067, son père l'a empêché d'aller à l'école,Mbɑ̄' á kèè lī ŋwɑ̀'nì 
7069, il a juré,Ǎ kèè 
7070, le nid d'oiseau,Nkèèsāk 
7071," l'alvéole de l'abeille, cellule dans laquelle l'abeille dépose ses œufs et son miel",Nkèè ŋwɑ̄' 
7072," le nid de la guêpe, le guêpier.",Nkèè mɑ̄nkǒklù 
7073, celui qui empêche le déroulement d'un travail.,Nkèè mfɑ̀' 
7074, le singe mange la banane mûre,Nkéé kònzɑ̄ pǎ' làt 
7075," décorateur, décoratrice",Nkēèzū 
7076, je suis un décorateur.,Ngɑ̌ mɑ́ nkēèzū 
7079," orner, décorer, ornementer, embellir, enjoliver",Nkēē 
7081," litt., le haut du Nkam",Túnkə̀ə̀ 
7082," si c'est le mensonge, que je tombe dans le Nkam par ma tête","Yāā bɑ̌ cwǎnù, ǹ ncō Nkə̀ə̀ mɑ̀ tū ā "
7083, la sève de la banane a sali mon vêtement.,Nkə̀ə̄ lǎt sú'sí ndhī à 
7084, cet habit se délave,Nkə̀ə̄ ndhī béé mɑ̀ntōm 
7085, grincer les dents.,Nkə̄ə̄ nsə̀' 
7088, elle prolonge généralement le stade de nourrisson de ses enfants,Ǎ ngʉ́ nkə̄ə̄ pōō mbǐ 
7089, On a laissé bien grandir Happi avant d'accoucher son cadet,Pō lɑ̀kə̀ə́ Hɑ̄āpìì tɑ̄ nzī ngà'njǎm ì 
7090, variété de maïs rouge,Ngòfāt nkēēnɑ̄ 
7091, type de banane qu'on préfère manger lorsque c'est mure,Lǎt nkēēnɑ̄ 
7092, la radio,Mbǔ'nkèn 
7093, la bonne nouvelle,Mbə̀' nkèn 
7094, fichier audio,Nkèn njûyū' 
7095, fichier audiovisuel,Nkèn yīīmɑ̄njū' 
7096," la bonne nouvelle, l'évangile",Mbə̀'nkèn 
7098, téléphoner.,Ncáhnkèn 
7099, politique commerciale.,Ngèèntēē 
7100, mon amour,Nkə̀'nì mǎ 
7101, l'amour c'est une crise,Nkə̀'nǐ mbɑ̄ lʉ̄lʉ̄ɑ̄ 
7102, l'amour est plus important que l'argent.,Nkə̀'nǐ shʉ̀ɑ̄ nkɑ̄ɑ̄ 
7104," il a la volonté de m'aider, mais il n'a pas les moyens.","Ǎ ghʉ̌ nkə̀'nì nàh nkōsī ā, tɑ́' mbʉ̄ɑ̄ sī mbú ì bɑ̄ "
7105," route inégales, pleine de cailloux, raboteuse, pleine d'aspérités.",Nkə̄'nkə́' nzhì 
7106, des tubercules de patates,Njò' nkə́'nkə̄' 
7107, des tubercules de macabo,Ngòòmbōk nkə́'nkə̄' 
7109," ils sont venus par groupes, en foules.",Pó fhʉ̄ nzhì nsɑ́' nkə̌nkə̀ə̀ 
7110, il est en train de gratter le macabo (rôti au feu).,Ǎ kònkə̄'sī ngòòmbōk 
7111," se promener sans but, errer, musarder, baguenauder, flâner, vadrouiller.",Nkɛ̄ɛ̄sī sì tú yɛ̄ɛ̄ 
7112, ma femme concasse les grains de haricots à la pierre.,Nzhwīē á kònkhú nkwén lòh 
7114, cette voiture ronfle.,Ndʉ̄' lɑ́ kònkhú 
7115, mes pieds,Nkhù mǎ 
7116, tes pieds,Nkhù mǒ 
7117, ses pieds,Nkhù mǐ 
7118, mes pieds sont enflés,Nkhù mǎ nʉ́ɑ́
7121," les décapodes, les animaux à dix pattes.",Nkhùghām 
7122, un reptile,"Nkhùvàm, nkhùvǎmsīē "
7123, la lignée familiale,Nkhʉ̌těndʉ̄ɑ̄ 
7124, les lacets,Nkhʉ̌ncāt 
7125, corde de bananier.,Nkhʉ̌ kòlə̀' 
7126, le téléphone,Nkhʉ̌nkèn 
7127, téléphoner.,Ncáhnkhʉ̀ 
7130, quatre pour cent (4%).,Kwɑ̌ nɑ́ nkhʉ̀ 
7136," un immigré, un émigré, un expatrié, un réfugié, un apatride",Nkhʉ̀ɑ̀lɑ̄' 
7137, celui qui évite les problèmes.,Nkhʉ̀ɑ̀ ncà' 
7138, le créancier,"Nkhʉ̄ɑ̀ wū, nkhʉ̄ɑ̀njō "
7140, vin de raphia,Ndǔ'nkhʉ̄ɑ̄ 
7141," cueillir, recueillir le vin de palme",Ndák nkhʉ̄ɑ̄ 
7142, celui qui cueille le vin de palme,Ndàk nkhʉ̄ɑ̄ 
7143," couteau de vigne, servant à recueillir le vin de raphia",Mbīènkhʉ̄ɑ̄ 
7144, expression tirée de la danse Bamiléké appelée Mɑ̄njwè',"Nthí ndìè' mɑ̄ à wèn, ncò wāā nkhʉ̄ɑ̄ "
7145, Que me réclames-tu?,Kɑ́ tɑ́ ó mbú à nkhʉ̄ɑ̄ ɑ̄ ? 
7146," réclamer un dû, réclamer un remboursement",Nkhʉ̄ɑ̄ njō 
7147, je sais tisser le filet à calebasse de vin,Ngɑ̌ zhí làh nkhʉ̄ɑ̄ tētēē
7151, remplacer un crâne disparu par une calebasse renfermant la terre du lieu où le défunt avait été enterré.,Nkhʉ̄ɑ̄'ntū 
7152, six morceaux.,Nkhʉ̄ɑ̄' ntòhō 
7157," se dit des amis qui ne sont en amitié avec vous que par rapport à des intérêts précis, et dès lors que vous ne pouvez plus leur être utile, ils s'éloignent de vous sans vergogne.",Nsén nkhùbɑ̄ntèn
7158, ami,Sēn
7159, Quelle est la vitesse de cette voiture?,Nkhǔndʉ́ɑ́ ndʉ̄' lɑ́ sʉ̄'ʉ̄ ? 
7160, une dépêche,Ŋwɑ̀'nǐ nkhǔndʉ̄ɑ̄ 
7161, fait rapidement,Ghʉ̀ pí nkhǔndʉ̄ɑ̄ 
7162, téléphone portable,Nkhʉ̌nkěnmbō 
7163," tu aimes trop user de la ruse, tu aimes jouer à la politique.",Ǒ kwě' nkhʉ̌nkhʉ̀ yə̄ə̄ 
7164, nhɑ̄ nkhǔshì,Donner la cadence
7165," fil, câble électrique",Nkhʉ̌mōh
7166, les lacets,Nkhʉ̌ncāt
7167, sorte d'étagère murale,Nkǒ'ndʉ̄ɑ̄ 
7168," étagère de marché, étagère d'une échoppe",Nkǒ'ntēē 
7169, le chien est monté sur la table,Mvʉ́ɑ́ kō' ndòm nkò' 
7170, le coq est sous la table,Khʉ̀ɑ́' těn nkò' 
7171, ne monte pas sur la table,Ǒ sì kō' ndə̀b nkò' 
7172, la chaise est sur la table,Kǒ' ndǒm nkò' 
7173, la table à manger.,Nkǒ'zɑ̄ 
7174, les gros yeux,Nkò' nə̄h 
7175, le hibou a de gros yeux,Zʉ́' ghʉ̌ nkò' nɑ̄h 
7176," qui a une large bouche, qui a de grosses lèvres, lippue",Nkò' nshù 
7177," grosse tête, macrocéphale",Nkò'tū 
7179," le baptisé, celui qui reçoit le baptême, le chrétien",Nkônshì 
7180," sage-femme, accoucheur",Nkômōō 
7181," le douanier, le collecteur d'impôts",Nkôfìè' 
7182," celui qui reçoit, qui perçoit la dot par exemple.",Nkôwū 
7183, un ravisseur.,Nkôwú wèn 
7184," combler qqn d'un excès de prévenances, dorloter, cajoler",Nhɑ̄ nkō' 
7185," enfant choyé, enfant préféré",Mōōnkō' 
7186," faire l'enfant gâté, faire le choyé",Ngʉ́ nkō' 
7187," témoigner une prédilection, une préférence pour quelqu'un.",Ngʉ́ nkó' mbí wèn 
7190, il a confisqué mon jouet.,Ǎ kó wú sʉ̀ɑ̀ zā 
7191, se défendre,Nkō pō 
7196, la fumée picote les yeux,Ndhímóh mɑ̀nkō 
7197, le bois frais produit la fumée.,Nshwī hwìé nkō' ndhímōh 
7198, ne le salue pas de la main,Ǒ sì kōpō ī 
7199, on ne salue pas le roi de la main.,Pō sǐ' nkōpó fʉ̀ bɑ̄ 
7200, aller en haut,Nkō' kè'è 
7203, on a augmenté le prix du sel,Pó kō' nshùntēē ngwā' 
7205," homosexuel femme, lesbienne",Ngāpkō'ngāp 
7206," homosexuel homme, pédé",Khʉ̀ɑ̀'kō'khʉ̀ɑ̀' 
7212, l'écorce amère,Nkòbɑ̌ dhìshʉ̄ɑ̄' 
7213, porte la marmite du feu.,Kǒh cǎk tìì 
7215, les clés,Kòhndʉ̄ɑ̄ 
7217, transvase ce pétrole dans la bouteille-là,Kōh nshǐmōh lɑ́ ntám tʉ̀tʉ̄ɑ̄' lì 
7218, verser l'eau dans la dame-jeanne.,Nkōh nshǐ ntám njōk 
7220, boire beaucoup de vin.,Nkók ndù' 
7221, j'ai des maux de tête,Tú á mɑ̀nkóm ā 
7222, on m'a accusé de sorcellerie.,Pó kòm ā nsʉ̀ɑ̀ 
7227, les mains d'un maçon sont toujours rugueuses,Mbó mbōòpè'é mbɑ̄ sì' mɑ̀ yáá kòpsì 
7228, écorce,Kòp 
7231, cette igname s'est endurcie,Lʉ̀ɑ̀' lɑ́ kòpsì 
7232," oins ton pied, ça s'est fendillé","Sī' mvát nɑ́ nkhù mǒ lɑ́, yáá kòpsì wǎ' "
7233, s'écailler,Nkáhsí 
7234, n'oublie pas de te peigner.,Ǒ sì lɑ́h nàh nkōm tū ō 
7235, calme-toi.,Kōm nā ò 
7236," prendre, et mbhì ",Nkō 
7237, M. Tchokonté est le premier-né de notre famille.,Mbɑ̂' Còkǒntʉ̀ɑ́' mɑ́ nkômbhì těndʉ̄ɑ̄ yòh 
7238, le capitaine de l'équipe de foot,Nkômbhì kə̀ə̄ mbǒ'nkhù 
7239, c'est notre capitaine,Ǎ mɑ́ yòh nkômbhì 
7240, le capitaine d'armée.,Nkômbhìncò 
7241, le mets préféré de Cǎmnà' c'est le couscous manioc sauce pistache,Mbè' wúzɑ́ Cǎmnǎ' mbɑ̄ nkòmnkòm nɑ̂' nzhʉ̀' 
7242, calme-toi,Kōmsī nā ò 
7243, celui qui intervient et réclame l'argent au débiteur qui ne veut pas rembourser ses dettes,Nkônkɑ́ɑ́ mbí ntèn 
7245, j'ai cueilli un gros avocat.,Ngɑ̌ kɑ́ɑ́ mǒ' nkò'nkò' shʉ́ɑ́ndāk 
7248, M. Emo fait sa soutenance de thèse la semaine prochaine,Mbɑ̄' Ěmòó mɑ̀nkōntá' mfɑ̌' cákngà' zǐ mǒ' ngɑ̀ɑ̀ 
7249, soutenance.,Kóntá'mfɑ̀' 
7250," l'enfant marche encore à quatre pattes, l'enfant rampe encore",Mōō yǎt kònkóómɑ́ 
7251, mon dos me fait mal,Nkòò nǎ mɑ̀njā' 
7252," le dos de la main, le revers de la main.",Nkòò pō 
7254," partie externe de la main, par opposition à tě'pō ",Nkòòpō 
7255, le côté opposé au tranchant du couteau,Nkòò pīē 
7256, le côté opposé au tranchant de la machette,Nkòò nī 
7257, le coiffeur,Nkōòtū 
7258," le sculpteur, l'artisan",Nkōòwū 
7259, le sculpteur d'arbre.,Nkōònthʉ̄ 
7261, tu as touché au nœud du problème,Ǒ kóó nɑ́ zʉ̀' yì yáá mɑ̀njóh lɑ́ 
7264, s'il te plait rase-moi avec la lame de rasoir.,Cīcō'ò lǎh fɑ̀' nkōō tū ā lɑ́ 
7265, sculpteur,Nkōònthʉ̄ 
7268, l'enfant marche encore à quatre pattes,Mōō yǎt kònkóóbɑ́ 
7269," il se gratte le dos, ça démange.","Ǎ kònkōōsī nkòò nì, yáá mɑ̀njóh "
7270, l'écorce amère.,Nkòbɑ̌ dhìshʉ̄ɑ̄' 
7271, j'aide ma mère à cultiver les billons,Ngɑ̌ mɑ̀nkōsī mɑ̄vǒ làh nzʉ̄'nʉ̀ɑ̀ 
7272, aide moi je t'en prie,Kōsī ā lɑ́ ngɑ̌ lɑ̀ɑ̀sì ō 
7273, je l'ai rattrapé et l'ai dépassé,Ngɑ̌ kósí ī tɑ̀ ntōh ī 
7274, remonter le feu de bois du foyer pour activer le feu.,Nkō'sī nshwī 
7275, ne dorlote pas l'enfant ainsi,Pɑ́' mɑ̄ nkō'sī mōō fà'á 
7276, clavier d'ordinateur,Nkǒ'tìē sāhndó' 
7277," l'écran d'ordinateur, le moniteur",Nkǒ'yéé sāhndó' 
7278," l'écran d'ordinateur, le moniteur",Nkǒ'yíí sāhndó' 
7279," ce n'est pas assez, ajoute encore.","Yāā kɑ̀' kú', pàt nshwí' "
7281, j'ai essayé ce haricot sur ces billions ça n'a pas donné,Ngɑ̌ kʉ̌' nkwēn béé nɑ́ nʉ̀ɑ̀ lè yáá lɑ̀ hɑ̄ 
7282, tracer une ligne,Nkúɑ́ nkà' 
7284, griffer.,Nkúɑ́ nkàp 
7288," Nzunga est en quatrième année au lycée technique, mais il ne sait même pas écrire son nom, c'est mieux qu'il rentre apprendre les notions élémentaires.","Nzʉ̌'ngǎ' ndʉ̄ɑ̀ŋwɑ̀'nì kwɑ̀, ɑ́ zʉ̌'ŋwɑ̀'nǐ vhʉ̌ ngwēèwèn, tɑ́' à kɑ̀' zhī mbɑ̀ làh nŋwɑ́' zēn zǐ, pó nkúɑ́ tɑ̄ nshīī"
7289, la règle,Nkùɑ̀nkà' 
7291, mon père est mort,Mbɑ̄' ó kūɑ̄ 
7292, ce médicament est expiré.,Hù lɑ́ yá' kūɑ̄ 
7294, le cache-nez,Nkúɑ́nzī 
7295," voiler, se voiler",Nsó nkūɑ̄ 
7296, il a porté un masque,Ǎ sǒ nkúɑ́ tú ì 
7297, faire avec art,"Anto. ngʉ́ pí njɑ̀', ngʉ́ pí nsō' "
7298, les Bamilékés savent respecter les gens.,Pɑ̄Ngràfí nzhī nàh nkú'ní pʉ̀ 
7299, il sait respecter les gens,Ǎ nzhī nàh nhɑ̄ nkù'nǐ wèn 
7300, à toi l'amour et le grand honneur.,"Nkwèè nkwè'nǐ mbú ò, mbát ngʉ́ mʉ̄ɑ̄ nkù'nì "
7301," on suce la canne à sucre, c'est sucré.","Pó mmīī nkùnkū', yáá ndámnsāk "
7302, personne ne dépasse l'autre au monde des fougères.,Wèn sǐ' nshʉ́ɑ́ wěn ngwě' nkʉ̀nkwēn bɑ̄ 
7303, ils ne sont pas capable de nous vaincre,Pō kà kú'sí nàh nzáb yōh 
7306, fil de sisal,Ndɑ̀ɑ̄ nkùtì 
7307, sac en sisal.,Pʉ̀ɑ̄ nkùtì 
7308," n'y pense plus, ne t'inquiète plus",Ǒ sì īmbát nkwá' nǔ ná 
7309, on crépi déjà la maison.,Pó yá' mɑ̄nkwá' pè'è 
7310," on étête les boutures d'igname et les saupoudre avec de la cendre avant de les conserver, de peur que ça ne se gâte.","Pó ncwēē ntú nkwāā, nkwá' pí vʉ́mōh tɑ̄ ndó', ɑ́ yāā pɑ́' mbɑ̄psī "
7311, Qui est l'auteur de cette pensée?,Wɑ̄ bɑ́ nkwà' tìè lè ? 
7312, ma femme sait danser le,Nzhwīē á zhī nàh nnák nkwā' 
7313, dune de sable,Kwé'nkwā' 
7314, le désert,Ngʉ̀ɑ̀nkwā' 
7315, on construit la maison avec le sable.,Pó ndáh nkwā'lā' nkwāt pè' 
7319," en venir aux mains, bagarrer.",Ntʉ̄ɑ̄'nkwàà 
7321, ne me touche pas,Ǒ sì kwāh pó ó nɑ́ à 
7322," attends, je réfléchis","Tēnɑ̄, ngɑ̌ mɑ̀nkwá'sí "
7323, je pense à mon enfance,Ngɑ̌ mɑ̀nkwá'sí yà ntìē'mōō 
7324," laisse tombé, ne pense plus à cette histoire.","Nāk fà'á, ǒ sì īmbát nkwá'sí báá nù lɑ́ "
7325, Kamseu sait très bien crépir la maison.,Nkǎmsʉ́' còh zhī nàh nkwá'sí pè'è 
7326," on étête les boutures d'igname et les saupoudre avec de la cendre avant de les conserver, de peur que ça ne se gâte","Pó ncwēē ntú nkwāā, nkwá'sí pí vʉ́mōh tɑ̄ ndó', ɑ́ yāā pɑ́' mbɑ̄psī "
7327," le maçon, le bâtisseur de maison",Nkwâtpè'è 
7328, il attache son sac,Ǎ mɑ̀nkwāt pʉ̀ɑ̀ ī 
7329, emballe ce paquet.,Kwāt pū' lɑ́ 
7330, nouer la cravate autour du cou,Nkwāt ntē' 
7331, je l'ai fait parce qu'il m'a forcé,Ǎ kwát lā tɑ́ ǹ ngʉ̂ 
7333, forcer qqn à faire qqch involontairement,Nkwāt wèn mɑ́ á ghʉ̌ wū sìkwè' 
7334, les maçons sont en train de construire la maison.,Pɑ̀ mbōòpè'é kònkwāt pè'è 
7335, conclure,Anto. nkwātū 
7336, établir la fondation d'une maison.,Nkwāt těn pè'è 
7337, conclure.,Anto. nkwātúnù 
7338, fais-le malgré toi,Kwātnthʉ̄ ō ngʉ́ yǒ 
7339, faire une introduction,Anto. nkwātèn 
7340, conclure une affaire.,"Nkwātúnù, mmɑ́' tú nù "
7341," conclure une affaire, faire un bilan général","Nshwíátāk, mmɑ́' tú nù "
7342, introduire une discussion.,Anto. nkwātěnù 
7344, Qui préfères-tu entre ton père et ta mère?,"Nɑ́ mɑ̄ ē pí mbɑ̄' ē, ǒ kwě' wɑ̄ nshʉ́ɑ́ mò' ò ? "
7346," patriote, chauvin",Nkwè'lɑ̄' 
7347, prends tout,Lǎh nkwèè yāā 
7348, tout le monde.,Nkwèè pʉ̀ 
7349, les galets.,Nkwé'ndòh 
7351, prends tout,Lǎh nkwèèsì yāā 
7352, partout.,"Nkwèè zʉ̀', nkwèèsì zʉ̀' "
7353, la queue du chien,Nkwěn mvʉ̄ɑ̄ 
7354, un chien à courte queue,Kǎmnkwèn mvʉ̄ɑ̄ 
7355, la queue des fruits,Ngǎt ntə́ə́thʉ̄ 
7358, entre à la maison,Kwēn ndʉ̄ɑ̄ 
7359, nous avons marché et sommes finalement arrivé à destination.,Pɑ̌h nàk tɑ̀ nkwēn 
7360, cet affaire m'a beaucoup affecté.,Nù lɑ́ kwēn ā 
7361, Combien coute cette huile?,Mvāt lě mɑ̀nkwēn lāhā ? 
7362, le dolique,Nkwén khʉ̀khʉ̄ɑ̄ 
7363, sorte de gros haricots dont la tige grimpe sur les arbres,Kwénkwɑ̀' 
7364, on reconnait les futurs meilleurs haricots par leurs gemmules,Pó njīī nkwēn kɑ́ ìmbé' lɑ́ mfhʉ̄ nɑ́ ŋwáá yāā 
7365, le riz,Nkwéndāk 
7366, le mil.,Nkwén njàmkè' 
7367, Le Covid-19 a placé le monde entier en confinement.,Ghòō Kòrōnǎ (COVID19) lǎh nkwèè ngwè' nkwēnmvʉ̀' 
7376, mon amour,Nkwè'nì mǎ 
7377, l'amour c'est une crise,Nkwè'nǐ mbɑ̄ lʉ̄lʉ̄ɑ̄ 
7378," lorsqu'il y a l'amour dans une maison/famille, on ne connait pas le pauvre.","Nkwè'nǐ mbɑ̄ ndʉ̄ɑ̄, pó lɑ̀ zhī ngà'mbōk "
7380," route inégales, pleine de cailloux, raboteuse.",Nkwē'nkwé' nzhì 
7383," en venir aux mains, bagarrer.",Ntʉ̄ɑ̄'nkwɛ̀ɛ̀ 
7384, le médecin a examiné mes selles,Ngà'kǎ' ná' nzāt mǎ 
7386, cette fille s'est maquillée le visage,Ngòò lɑ́ nā' sī ī 
7387, espionner qqn,Nnɑ̄' wèn 
7388, cet enfant est très chiche,Mōō lɑ́ nnāb tɑ̀' 
7395," déshonorer, faire honte à quelqu'un",Nnɑ̄h túfhǔ tú wèn 
7396," ameublir, meubler une maison",Nnɑ̄h zú ndʉ̄ɑ̄ 
7397," ralentir, décélérer, marcher doucement",Nnák ndɑ̀'ndɑ̀' 
7398," boiter, clopiner, claudiquer, boitiller.","Nnák tǎk yāā, nnák tǎk "
7399, mon commerce prospère,Ntēē nǎ kònnák pə̀pē' 
7400," déchaîner, désenchaîner le chien",Nnāk mvʉ̄ɑ̄ 
7401," appauvrir, paupériser",Nnāk pōk 
7402, je suis un éleveur,Ngɑ̌ mɑ́ nnâknə̀ə̀
7403, un éleveur de volailles,Nnâk ngāp 
7404, un éleveur de chèvre,Nnâk mvī 
7405," un apiculteur, un éleveur d'abeille",Nnâkŋwɑ̄' 
7406, un éleveur de bœuf.,Nnâk hè' 
7408, qui va doucement va surement,Nnàk ndɑ̀'ndɑ̀' lɑ̀' dīē mɑ̄nzhì 
7409, un danseur,Nnàknshì 
7411, le vent fait ployer les arbres et les herbes.,Fùfùá mɑ̀nnám nthʉ̄ píá mvēnɑ̀ 
7414," s'aliter, se coucher au lit",Nné' kwéndʉ̄ɑ̄ 
7415," va te coucher, tu dois être fatigué","Ghèn nné' sīē, ǒ ìmbɑ̄ mɑ̀ ǒ púá "
7419, se coucher sur le côté,Nné' pàhshʉ̀' 
7421, couvrir,Kāb 
7422, se coucher dans le sens de la longueur,Nné' títī 
7423, vertical.,Títī 
7424, un paresseux,Nnè'mbīɑ̄ 
7425, l'enfant est en train de téter.,Móó kònnē' pēn 
7426, ma mère allaite l'enfant,Mɑ̄vǒ mɑ̀nnē' mōō 
7427," s'aliter, se coucher au lit",Nnə́' kwéndʉ̄ɑ̄ 
7428," va te coucher, tu dois être fatigué.","Ghèn nnə́' sīē, ǒ ìmbɑ̄ mɑ̀ ǒ púá "
7429, l'enfant est en train de téter.,Móó kònnə̄' pēn 
7430, ma mère allaite l'enfant,Mɑ̄vǒ mɑ̀nnə̄' mōō 
7431," habituellement, il aime la patate",Ǎ nnēē nkwé' njò' 
7433," l'affaire-là est imminente, c'est urgent",Nù lɑ́ mɑ̀nnēsī 
7434, je ressens un besoin pressant d'aller aux selles,Nzát mɑ̀nnēēsī ā 
7440," déshonorer, souiller, faire honte à quelqu'un",Nnə̄h túfhǔ tú wèn 
7441," ameublir, meubler une maison",Nnə̄h zú ndʉ̄ɑ̄ 
